username,date,tweet,mentions
tejaschogale,10-06-2020,"What r u working on? What assurance? No action tkn since 8-May after u siphoned off my money! Immediately refund entire â¹269 to my Main Balance
- O/G was stoppd on 8,9,10,11-May
- Illegally debited â¹269 on 11-May although denied on 8-May
- Unltd calls only 24 days instead of 56 pic.twitter.com/1dShuYEsAc","['vodafonein', 'dot_india', 'trai', 'rssharma3', 'officeofrsp', 'secretary_dot', 'telecomtalk', 'ufteryou', 'bgrindia', 'just_outspoken']"
abm21081981,10-06-2020,@TRAI @VodafoneIN @Vodacom @DoT_India as you requested details  provided I am waiting for response. Request to government authorities for the penalty on such companies who are taking the benefit of Covid-19. And it is the duty of government https://twitte,"['trai', 'vodafonein', 'vodacom', 'dot_india']"
akanksha_g_,10-06-2020,"@VodafoneGroup @VodafoneIN 

Is this your code of conduct? Your Values that you must be sharing with your employees when they join you? 'Just keep looting the customers by putting unnecessary charges because Only Money Matters' #VodafoneSucks","['vodafonegroup', 'vodafonein']"
rajnandanprasa9,10-06-2020,When I ask for evidence don't receive answer. Now for Jun 2020 reversal has been initiated. I am still requesting to do reversal for May 2020 as I did not request for this service. You can see my data usage still I have more than 170 GB pending to use.,['vodafonein']
rajnandanprasa9,10-06-2020,"In the month of Jun 2020, I noticed spike in my bill. When checked I noticed CORPORATE_OFFER_20GB_100 has been charged for May & Jun for which I never requested for.",['vodafonein']
foodyraja,10-06-2020,"@VodafoneIN I hv been charged for intâl roaming in MAY when world was under lockdown and some games that I didnât activate. Ur call centre said matter will be escalated and I will get a call back which hasnât happened. Iâm tired!
#cheating #fedup ","['vodafonein', 'trai']"
heartbreakkidd9,10-06-2020,"Hi.. I have almost non existent data in the day time. I am unable to use my quota of daily data. Will you refund? I know you cannot, then how do you. Compensate for your bad service? Please let me know.. It is my right to get the right service when I have paid for it.",['vodafonein']
vipinnegi13486,10-06-2020,"Alrdy done basic trouble shooting step.sim instered into other phn, restarted, *407# also done which was guided by your CC executuve still issue not resolved. Refund my amount approx 300 rs post that will switch to other operator..",['vodafonein']
akanksha_g_,10-06-2020,"@VodafoneIN thanks for being the worst and most pathethic company with absolutely no moral ethics.. You have now put #RedX charges on my parents' postpaid mobile number and when they went to ur stupid store, your ppl told to pay 3000 to get it cancelled. ",['vodafonein']
kvsuratwala,10-06-2020,".@VodafoneIN 
I want to go for double data offer but you haven't replied in DM yet...
Can I queue recharges?",['vodafonein']
voralogy,10-06-2020,When you miss you bill payment due date - @VodafoneIN plays a rather long notice in two languages. What happens if I am making a call under distress or an emergency. Something @DoT_India should consider.,"['vodafonein', 'dot_india']"
s_kaushiik,10-06-2020,"@rinil @Pravi008_pravi @DoT_India @VodafoneIN
Followings r d only ones which came into my notice nd I'm successfully got a refund. A lot of times THEY CHANGED me without any information on it
happening on such a big level but still they use straight denia","['rinil', 'pravi008_pravi', 'dot_india', 'vodafonein']"
mithileshjoshii,10-06-2020,"@VodafoneIN @Idea I set my caller tune 3 week ago, you charged me more than 100rs, still my caller tune is not active, reached you several times, through call email but no response or solutions.
You treating well your customers ð???","['vodafonein', 'idea']"
iambhanugupta,10-06-2020,"Man, you should see what @Idea @VodafoneIN has started. Even though one recharges every month, they send the sms saying, 'if there are no i/c or o/g calls for 90 days, your connection will be deactivated.' I'm like wtf, I'm paying, so it's my connection, stop snooping.","['geekyranjit', 'idea', 'vodafonein']"
shashiwithyou,10-06-2020,I am unable to find low cost plan in my Vodafone app that's why I called to your customer care but they denied to offer me low cost plan. Being a old customer couldn't hope such reply form your side in this pandemic time.I am not gonna pay current plan amount.Plz resolve it ASAP.,['vodafonein']
vipinnegi13486,10-06-2020,"its more then one week over still issue Not resolved..i m disappointed from your services...what are you working, no one informing about status...will you all are able to resolve the or not.",['vodafonein']
surajt30,10-06-2020,"@VodafoneIN 

What is going in you company if the customer pays the bill then also you all stop the services. 

Hello! Payment of Rs. 470.82 is credited to your Vodafone number 8655568525. Your outstanding balance as on 2020-06-07 is Rs. 0.0.",['vodafonein']
sree007010,10-06-2020,"@TRAI @TRAI_OHD please see the attached images. @VodafoneIN offers 1.5gb/day for 399(56 days validity). I recharged today morning, plan validity was to be extended till Aug 5. But my plan validity extended only till Aug 4 and internet validity till Aug 3.","['trai', 'trai_ohd', 'vodafonein']"
surajt30,10-06-2020,"bahut cutiya company hai 

Agai i got msg from @VodafoneIN 
Hello! Your services are restricted due to non-payment of bills. For bill details SMS BILL to 199 (toll free). Please ignore if already paid

I have paid the bill day before yesterday",['vodafonein']
isolated_batman,10-06-2020,@VodafoneIN stop reminding me of the bill payments and start reminding yourself of the fucking pathetic service you provide.,['vodafonein']
sameerkoolest,10-06-2020,"@VodafoneIN please let me know how many times I would have to raise this complaint. Should I write to consumer complaints? I am fed up of recieving your text messages, when I did not use the service due to ur network issue when i needed why should i pay t",['vodafonein']
risingi10923875,10-06-2020,"@AdityaBirlaGrp @VodafoneIN
Respected Mangalam sir,
Voda has strtd chtng it's customers

""Hello! Your complaint dated 06-Jun-2020 02:13:15 PM with reference number C003-68419973137 is registered. We assure resolution by 09-Jun-2020 02:15:20 PM.""

Today is","['adityabirlagrp', 'vodafonein']"
jennitzki,10-06-2020,"@VodafoneIN This happened yesterday. Without any notice or anything, you deducted this. And itâs not like there was a prior subscription or shit like that. Now customer service is saying it cannot be refunded. Least you could have done is ask whether to",['vodafonein']
danto,10-06-2020, https://www.google.com/amp/s/www.thehindubusinessline.com/info-tech/vodafone-idea-deducts-international-roaming-rental-without-consent-consumers-complain/article31729332.ece/amp/Â â¦,"['johnsinvest', 'vodafonein', 'reliancejio', 'airtel_presence']"
coolzaimy,10-06-2020,"@VodafoneIN I've recharged with â¹449 UL Calls,2+2GB Data(Double Data). The msg was showing its double but when I checked my bal it is showing 3 GB. You're Cheating The People,What About My 1GB??",['vodafonein']
arunsrivastava_,10-06-2020,You guys left me with no choice .. since February inam facing billing issue and no one is listing to me.. I did get multiple call from @VodafoneIN customer care but didn't get any solution.. still I am in same situation to pay extra bill,['vodafonein']
nitishng,10-06-2020,@VodafoneIN @VodafoneGroup @Vodacom never expect from you the worst service. No one available on customer support. Bill amount rise without any notice @idea_cares @Idea,"['vodafonein', 'vodafonegroup', 'vodacom', 'idea_cares', 'idea']"
arunsrivastava_,10-06-2020,"@VodafoneIN This is so very shameful that my request of extra bill issue is still not resolved even after months of continuous complaints in customer care and twitter also. I am so fed up with this issue,I don't want to continue with @VodafoneIN 
Let me k",['vodafonein']
chiragk46072992,10-06-2020,Havenât received any call yesterday,['vodafonein']
shekharssharma1,10-06-2020,"Plz send me bills of last one year. .. @VodafoneIN never sent me bills in pdf files, I need those bills urgently !",['vodafonein']
georgepgeorge_,10-06-2020,Please can u confirm if the money wrong debited by voda is credited in my account,['vodafonein']
meghago50712316,10-06-2020,"@VodafoneIN 
So finally after so many calls and mails,I am being denied to be heard.
I have been told by Vodafone come what may,they will charge the unreasonable fee for which I was completely unaware of to change my plan.",['vodafonein']
shekharssharma1,10-06-2020,Exactly ! That's the issue ! Your network is shit ! And I pay u~ 480/month for this!,['vodafonein']
fairnloved,10-06-2020,I use to think it only happens to me that the data pack.expires before time. Fucking looters @VodafoneIN,"['tejaschogale', 'bandbajaateraho', 'vodafonein', 'secretary_dot', 'rssharma3', 'officeofrsp', 'trai', 'dot_india', 'telecomtalk', 'bgrindia', 'ufteryou', 'babagolmaal', 'newproblem', 'activistonjob', 'scimitar_ss', 'just_outspoken', 'thebharatseva', 'bhonpu_news', 'rdcbob1', 'ascionline', 'consaff', 'rbi', 'finminindia', 'doc_goi', 'rsprasad', 'moca_goi', 'newslaundry', 'timesofindia', 'nikitesh79', 'mkarts09', 'govindmohan241', 'sainfreddie', 'killervraj', 'anupams_iiebm', 'surhans', 'utkarshdivyansh', 'avunoorid', 'prasadw13', 'hiiritesh', 'omh_y', 'vishal94321', 'thesagarpareek', 'ajsaini9', 'na_porwal', 'neharaje3', 'bongarani', 'balodhivinay', 'sahoo_nagen', 'karankesanova']"
svsiddh4,10-06-2020,"After deactivation service again u stole some amount as subscribtion renewed, is that u r flawless service?",['vodafonein']
vmp13122375,10-06-2020,How many mobile#are running over same IMEI.Please check & confirm if found such discrepancy against national security compliance breach by any mobile company. @TRAI @BSNLCorporate @Idea @VodafoneIN @Airtel_Presence @airtelindia @MTNLOfficial @DCP_CCC_Delhi @CyberDost @CyberDost pic.twitter.com/PoMFpWspn2,"['trai', 'bsnlcorporate', 'idea', 'vodafonein', 'airtel_presence', 'airtelindia', 'mtnlofficial', 'dcp_ccc_delhi', 'cyberdost']"
vmp13122375,10-06-2020,How many mobile#are running over same IMEI.Please check & confirm if found such discrepancy against national security compliance breach by any mobile company. @TRAI @BSNLCorporate @Idea @VodafoneIN @Airtel_Presence @airtelindia @MTNLOfficial @DCP_CCC_Delhi @CyberDost @CyberDost pic.twitter.com/SHIczMTX7Q,"['trai', 'bsnlcorporate', 'idea', 'vodafonein', 'airtel_presence', 'airtelindia', 'mtnlofficial', 'dcp_ccc_delhi', 'cyberdost']"
vmp13122375,10-06-2020,How many mobile#are running over same IMEI.Please check & confirm if found such discrepancy against national security compliance breach by any mobile company. @TRAI @BSNLCorporate @Idea @VodafoneIN @Airtel_Presence @airtelindia @MTNLOfficial @DCP_CCC_Delhi @CyberDost @CyberDost pic.twitter.com/wx6xTUjnbn,"['trai', 'bsnlcorporate', 'idea', 'vodafonein', 'airtel_presence', 'airtelindia', 'mtnlofficial', 'dcp_ccc_delhi', 'cyberdost']"
manishkbol,10-06-2020,Is there any update on this? I am not able to receive any bank otp msg which is really problematic. I am not able to do any online transaction. Please help me here.,['vodafonein']
nagaraj71057526,10-06-2020,@VodafoneIN how to check message balance for unlimited pack,['vodafonein']
tejaschogale,10-06-2020,"@VodafoneIN Appellate Office trying to fool me again! Claims that my unlimited pack is stil valid, it is NOT! Whr is Unlimited Calls pack? It expired prematurely on 05-JUNE instead of 07-JULY. I'vr been yelling since 08-MAY that call pk validity gvn was O",['vodafonein']
alammohammad5,10-06-2020,"@VodafoneIN Even after your confirmation I am yet to receive my ebill,  can u please arrange the same asap.",['vodafonein']
asheesh_00,10-06-2020,1 year 1 month 23 days and counting. Refund my money you took by #Cheating and selling Vodafone shield Where is refund amount cheque?#harassment #useless @TRAI @OfficeOfRSP @timesofindia @HindustanTimes @bsindia @htTweets @VodafoneGroup @nch14404 @consaff @jagograhakjago pic.twitter.com/MoYhQ3kvin,"['dot_india', 'vodafonein', 'trai', 'officeofrsp', 'timesofindia', 'hindustantimes', 'bsindia', 'httweets', 'vodafonegroup', 'nch14404', 'consaff', 'jagograhakjago']"
mrskbihari,10-06-2020,"@VodafoneIN Worst Service & Experience !!! Making money by way of automatically activation of VAS without any consent and despite of deactivation immediately on same day and after confirmation from customer care, final bill has been sent for all those cha",['vodafonein']
niveditapandey7,10-06-2020,"I donât use your service. I have been requesting to disconnect for 3 months and you refuse shamelessly. I am not liable for any bill you charge me current month onwards. 
Go harass and extort money from someone else.","['vodafonein', 'rmstakkar']"
b0mbay_guy,10-06-2020,"@VodafoneIN
@TRAI
@idea_cares
@zeenews 
Vodafone idea Ltd store are doing fraud
asking for my refund amount but no feedback from any customer care and the Vodafone idea Ltd store executive ganesh saying he will not refund do what ever I can do & customer ","['idea_cares', 'vodafonein', 'trai', 'zeenews']"
prateekrdelhi,10-06-2020,@VodafoneIN I have raised request.thorugh sms for call records of Feb to Apr 2020. Even after deducting money. No records has been shared . No  I am being asked to raise to request again ??,['vodafonein']
judeper64471587,10-06-2020,"@VodafoneIN last month i was charged for international roaming 9000rs and it was waved because i dint use it . This month again the same issue . What is wrong with your services please look into the matter my number is 7507695636
I dont want international",['vodafonein']
leoheartedrks,10-06-2020,"I have recharged with 599 plan during double data offer for few days I got 3gb/day then today suddenly my plan become 1gb/day.
Matlab majak h kya lockdown me bhi customer ke maaze loge .ð¡ð¡ pic.twitter.com/2csGP9syUk",['vodafonein']
kkethes,10-06-2020,No proper response to the private message. Your solution is to restart the phone. Do you think I have not done that before even complaining? Please check why you havenât deducted international roaming charge yet and that will give you answer on why my services are not working yet,['vodafonein']
ninjapro68,10-06-2020,"@VodafoneIN I recharged my number while an existing pack was active, and since my existing pack was about to expire in 5 days i thought this would be added to the queue however it removed my old pack and it replaced it with the new one",['vodafonein']
deepanshusethii,10-06-2020,I have messaged you my number related to this problem twice but no action has been taken towards your end. Just using a python on twitter to reply to the tweets doesn't make your service any better .,['vodafonein']
lavaniyahoney03,10-06-2020,"@VodafoneIN 
Hello
My Top-up expired on 9'th June 2020.And again i reacharge on 10'th June with 599 with my Vodafone app.
In my Vodafone app it shows me that on the reacharge of 599 I will receive 1.5 GB + 1.5 GB everyday.",['vodafonein']
anju05709571,10-06-2020,@TRAI I complained regarding the service and charges to Vodafone cc and @VodafoneIN  social media still now no response from thm regarding the issue to attend 1complaint its tkng 20days its bcz thy want the bill to be charged,"['trai', 'vodafonein']"
rajeshsinghse10,10-06-2020,Remove this late charge. We had talked to customer care executive. He said that we will remove your late charges. But it has not been removed by now?,['vodafonein']
krunal061298,10-06-2020,@VodafoneIN #nothelping look at my screen shot Vodafone said me about my issue that you has been done recharge on 26 August 2020. They have wrong data and they still doesn't help for my issue. Please don't use it I'll throw this sim card in dustbin becaus,['vodafonein']
deepakb04976717,09-06-2020,@VodafoneIN We are a vendor from Assam Circle whose payment vodafone idea ltd are not willing to pay and making things miserable for us. We have been waiting from January for payment and still there are no signs of payment.I dont know whats wrong with Vod,['vodafonein']
abhishek1j,09-06-2020,"My alternative number have been sent to u twice as 8802355105.
Kindly confirm u have not rec'd the earlier tweets",['vodafonein']
patelnikesh,09-06-2020,I am not going to pay the bill until resolution.,['vodafonein']
pavasverma6,09-06-2020,"@VodafoneIN You have been told that now there are two accounts, one main and one secondary and the call charge will be deducted from the first secondary account but our call charges are being deducted from the main account and after talking c care no sati",['vodafonein']
abh_dams,09-06-2020,Had been charged 99 INR for international Roaming,['vodafonein']
ajoyzx,09-06-2020,#ShameVodafone almost 45 days u can't revert amount of unsuccessful recharge even though confirmed by @ICICIBank @ICICIBank_Care that it credited to @VodafoneIN n authorities @trai @DoT_India r sleeping @PMOIndia can't u c how citizens r getting robbed @rsprasad pitty on u  https://twitter.com/Ajoyzx/status/1267688602462490626Â â¦ pic.twitter.com/GYHuhAZzmh,"['icicibank', 'icicibank_care', 'vodafonein', 'trai', 'dot_india', 'pmoindia', 'rsprasad']"
manishkbol,09-06-2020,I am able to get other messages some time. Can you tell me how? I have an unlimited recharge plan which gives me 100 sms/day.,['vodafonein']
suman79193998,09-06-2020,"@ConnectCOAI @VodafoneIN  have lots of time request to you for Chang my plan in 299/- and remove international roaming from my mobile number 9587885051 but both request are not completed, as I am in UAE and can not do the same from mobile app, this is my ","['connectcoai', 'vodafonein']"
santhoshkanna4,09-06-2020,I am using a postpaid connection why will I have a daily limit?,['vodafonein']
kundarthala,09-06-2020,Above complaint not yet addressed. Pls take urgent steps. To activate our no.,['vodafonein']
pankaj_1401,09-06-2020,@VodafoneIN  this is to bring your kind attention that me and my wife are getting calls from collections executive despite the bills  were paid on 29th April before porting out . I would request you to check your records  and details have been shared with,['vodafonein']
sam7253,09-06-2020,@idea_cares @VodafoneIN  is it compulsory to recharge from ur store whole doing port from postpaid to prepaid..? Your guys has forcibly charge 350 â¹ at your store. Stating that there are no other plans below 350 â¹.. Plz revert..?,"['idea_cares', 'vodafonein']"
atifahmed_k,09-06-2020,@VodafoneIN Have been waiting since morning for your call to justify why you have been deducting my number without any usage and when calling your customer support there is no one answering the call. 9962622341 Pathetic service @rssharma3,"['vodafonein', 'rssharma3']"
prem_1829,09-06-2020,"@VodafoneIN why deducted my balance in the name of caller tune without my knowledge.. Hello. Your subscription for Callertunes is renewed and Rs.33 has been deducted. The service will get renewed on 09-07-2020. To deactivate, SMS STOP to or call pls retur",['vodafonein']
fire_at_will_30,09-06-2020,"@VodafoneIN @VodafoneGroup 
Ported out my number from Vodafone to Airtel. And I believe I cleared the entire outstanding payment only then my # was ported out. Still Vodafone has been harressing to make payment for God knws what bill.
So made the payment ","['vodafonein', 'vodafonegroup']"
tejaschogale,09-06-2020,"@VodafoneIN chor hai toh hum kotwal hai. Ulta chor kotwal ko daante chal raha hai filhaal. But hum bhi Chulbul Pandey hai. Nahi chodenge.
@VodafoneIN stop fooling me & refund â¹269. U hvnt provided correct benefits of â¹269 plan but charged me fully. 
@","['sainfreddie', 'vishal94321', 'vodafonein', 'secretary_dot', 'rssharma3', 'officeofrsp', 'trai', 'dot_india', 'telecomtalk', 'bgrindia', 'ufteryou', 'babagolmaal', 'newproblem', 'activistonjob', 'scimitar_ss', 'just_outspoken', 'thebharatseva', 'bandbajaateraho', 'bhonpu_news', 'rdcbob1', 'ascionline', 'consaff', 'rbi', 'finminindia', 'doc_goi', 'rsprasad', 'moca_goi', 'newslaundry', 'timesofindia', 'nikitesh79', 'mkarts09', 'govindmohan241', 'killervraj', 'anupams_iiebm', 'surhans', 'utkarshdivyansh', 'avunoorid', 'prasadw13', 'hiiritesh', 'omh_y', 'thesagarpareek', 'ajsaini9', 'na_porwal', 'neharaje3', 'bongarani', 'balodhivinay', 'mariagorettiz', 'ronitboseroy']"
dhaval95296153,09-06-2020,"Now I again get message from Vodafone executive say if I don't pay whatever excess charges they are charging they will suspend my SIM. But no one is actually looking at the issue.
This is the way they I'll treat  a loyal customer",['vodafonein']
bhavikj20106865,09-06-2020,"How many times you will apologize ? Tell you broadband to initiate the refund it's been 3 months now @youbroadband 
Technical team visited 3 to 4 times still same issue exist @TRAI  refund the money.","['vodafonein', 'youbroadband', 'trai']"
vinayak47247405,09-06-2020,"Received a response on 7th Jun that any credit will be paid back. Will wait for a final bill on 15th Jun, then respond. There was a credit bal of Rs.118 which is yet to be refunded. Lets see how this goes. pic.twitter.com/0tAK1nW39H",['vodafonein']
ws_concat,09-06-2020,"I have replied you already and again replied you. Can you please bother to look into your DM or will you continue to harass the customers? I am trying again and again to your customer support and after 10 mins of hold duration, my call gets disconnected.",['vodafonein']
aky77,09-06-2020,I tried to change my Vodafone postpaid plan .... Already did DM my number,['vodafonein']
jaikumarhinduja,09-06-2020,"@VodafoneIN awaiting reply from your side, please don't expect the payment for the last month until this resolved..",['vodafonein']
sree007010,09-06-2020,@VodafoneIN I have opted for porting my vodafone number and then ur executive called me and gave me an offer. But the offer is not visible in my recharge list. I can't reach to your customer executive also. No longer need your service if this is the servi,['vodafonein']
sharikqureshi92,09-06-2020,Pathetic customer service by @VodafoneIN. I couldn't change my account type due to the lockdown as your stores were closed and then after being offered a discount on my bill I still receive the bill with same amount. Tried calling the complaints but that doesn't help either.,['vodafonein']
shiromanisoni,09-06-2020,"@VodafoneIN is not ready to solve my issue infact they called me and asked me to Pay 3000/- if I cancel the subscription, seems lockdown has made them sick mentally, I have raised the complaint in Consumer forum specifying the mental torture, infact askin",['vodafonein']
vinitmaheswari,09-06-2020,"@VodafoneIN Do please let me know how a prepaid user have an un paid amount due?

And it's been 2 or more then 2 year, I've moved from Vodafone to Airtel. Cause of your services.

Now the question is why I get an email saying ""Demand Notice unpaid amount""",['vodafonein']
roshnibisht11,09-06-2020,"Hi, try calling 198 instead. I was able to connect with the customer care executive within 3 minutes.","['aky77', 'vodafonein', 'vodafonecust']"
jigneshpa,09-06-2020,"@VodafoneIN  Today I hv recharged with Rs.39/- as per the details shared on *121#. It says 39 Talktime and 100 MB for 28 Days. but when I checked it says only till 22nd Jun and No talktime after recharge.

Return my money.",['vodafonein']
roshnibisht11,09-06-2020,"@VodafoneIN Hi Team, I had accidentally recharged my neighbour's vodafone no. instead of my sister's (Rs 599) but your support team was very prompt and kind to do the transfer of transaction within 24 hours. Thank you for the service. Really appreciate th",['vodafonein']
abhinavamukhrje,09-06-2020,"Hello Team, in spite of repeated requests, Rs. 99/- charges for caller tune (which was never requested for) is already deducted from balance for my uncle's Vodafone number and current balance went to negative. What kind of unprofessional service is this?",['vodafonein']
simrank80688800,09-06-2020,For god sake .. keep ur data with u .. i wanna leave your services if i have to pay also .. but you are the harassment .. shameful provider !!,['vodafonein']
vinaygu26047973,09-06-2020,FRC is already done at the time of number migration  at Vodafone store. They charged us. Please see the image of my charge statement. Rs 297 include FRC charges and 645 is the bill clearing amount. Resolve this issue asap or I need to take action on this fraudulent activity. pic.twitter.com/NOGzedapUI,['vodafonein']
kapoor4341,09-06-2020,Have replied to ur message there also. I got just 1 month subscription  instead of 1 yr ( as per plan i shoild get one year),['vodafonein']
hungrybawarchi,09-06-2020,"Please do. 
I need this sorted out and also need to deactivate an ad on rental plan which is on going on the number.",['vodafonein']
basu_kalloli,09-06-2020,@VodafoneIN I am currently on international roaming and I just switched the sim on today and I immediately get a text saying a callertune was activated and a rental was deducted. How is this even possible? Can you stop auto enabling services and swindling,['vodafonein']
rohietpaatil,09-06-2020,"7 days, 
168 hours, 
10080 seconds,

To the complaint.

When will these #shameless @VodafoneIN people will wake up and provide services of our hard earned money paid to them.",['vodafonein']
leoharimohan84,09-06-2020,"Hi 
It a long trail of mails and several calls to care Department. Forcefully putting subscription arrears in my bill. You can contact for more on: +918950156201 @VodafoneIN @VodaIdea_NEWS","['vodafonein', 'vodaidea_news']"
abhisheksayz,09-06-2020,Just curious... How is that the Airtel stores have opened despite the same âgovt guidelinesâ that apply to all telecom providers?,['vodafonein']
sunitdere,09-06-2020,Please call on 8424014810,['vodafonein']
