username,date,tweet,mentions
sarasberiwala,10-06-2020,Network fluctuations and 4G Speed is pathetic. Need to Jio as an alternative. Very bad Vodafone,['vodafonein']
tanzeelu3,10-06-2020,@VodafoneIN mere area me vodafone ka network nai aa raha hai bhitoli luckow 226021 me plz solves my problem plz,['vodafonein']
mayankpatel7293,10-06-2020,"@VodafoneIN @VodafoneGroup
Hi,
 Today my Vodafone cim is deactivated without any information.
I called the customer care and got to know that the portability request came from my end which is totally false. Please support.
@TRAI
@TRAI_OHD
@OfficeOfRSP
@rs","['vodafonein', 'vodafonegroup', 'trai', 'trai_ohd', 'officeofrsp', 'rssharma3', 'dot_india']"
deeranjith,10-06-2020,"Dear Vodafone, I have already responded to your reply. Waiting to hear back from you now.",['vodafonein']
govindrathi799,10-06-2020,"@VodafoneIN SIR OUR MARKET AREA ME BILKUL NETWORK NAHI AA RAHA H,CALL AATA NAHI OR JATA BHI NAHI,NO RESPONCE COMPNY",['vodafonein']
nits_os,10-06-2020,Vodafone Netwrk is worst ever...Using from so many years... But no development even after complaining so many times.. After Corono started it is getting downgraded day by day,"['dhirajrmishra21', 'vodafonein']"
sumitsharma065,10-06-2020,"@VodafoneIN 9796053999... internet not working, pls assist asap",['vodafonein']
kachharaarpit,10-06-2020,Still waiting for your reply @VodafoneIN @TRAI @DoT_India @rsprasad,"['pokharna', 'vodafonein', 'trai', 'dot_india', 'rsprasad']"
x10nd,10-06-2020,@VodafoneIN Unable to access your website and is showing connection time out.,['vodafonein']
dhirajrmishra21,10-06-2020,"@VodafoneIN call drops are very high.
This is 4th day m facing this issue.
Every call getting disconnected.
Please look into it..",['vodafonein']
bitchybabaspeak,10-06-2020,Please help with the exact process of changing ownership details of a lost sim card. Vodafone customer care and Vodafone store people are referring to each other and its been 5 days now. @VodafoneIN,['vodafonein']
omanmessi,10-06-2020,@VodafoneIN,"['ooredoooman', 'vodafonein']"
alammohammad5,10-06-2020,@VodafoneIN Can I expect your response?,['vodafonein']
sunnyprakash25,10-06-2020,@VodafoneIN .. when u can assure your customers that ur service will good and internet speed will be good and stable. Also too much distortion in network.,['vodafonein']
saurav29768625,10-06-2020,@VodafoneIN gonna port into ur network hope it works out well!,['vodafonein']
santoshwagari,10-06-2020,Someone has misused my documents to get a sim card and I sent a mail to vodafone as well but nobody's helping me out. Please @VodafoneIN help me in sorting this out or else I'll file a FIR against @VodafoneIN  and the person who's using the sim.,['vodafonein']
swetadas,10-06-2020,"We have already used the link and done so Pia. Please reference all my previous tweets in this regard. They donât respond, they ignore calls and itâs getting to a point where we think there is absolutely no concern. pic.twitter.com/U3OJgYhxiU",['vodafonein']
maulin_p_,10-06-2020,"Do not buy internet service from you broad band ahmedabad. I m using this worst service in bopal-guma.Always network problem is  http://there.NoÂ  one is available to solve ur complaint .My  a/c no is 1989377.Worst management.Waste of ur money 
@youbroadband @VodafoneIN","['youbroadband', 'vodafonein']"
pramodj1988,10-06-2020,"Very bad network coverage by Vodafone. Call drops, problems with getting data, as well as sending or receiving messages. We are facing Vodafone network issue from the last 2 months .. complained many of times but it's not resolving ..  what should we do.
@VodafoneIN",['vodafonein']
maheshmalushte,10-06-2020,Super fast @VodafoneIN  4G+ network... Thank you @VodafoneIN  pic.twitter.com/kjUWrUbv3i,['vodafonein']
rachits38708905,10-06-2020,@VodafoneIN After complaining again and again no one has solved my problem from your side.thanks for insulting your customers such a bad network vodafone is ð¡ð¡,['vodafonein']
pratikvith,10-06-2020,"If you can't provide the speed ir sufficient network plz stop selling the new numbers.

@VodafoneIN  pic.twitter.com/Z00zhjOUF4",['vodafonein']
anilkum07555592,10-06-2020,"@VodafoneIN My complaints reference # CC004-67991604556 says resolved, but after 2 days again Zero signal..i ve absolutely no connectivity from voda while airtel has full network, how do u expect me to hold my MNP n consider to go for ur network",['vodafonein']
dhavalbelurkar1,10-06-2020,Pathetic network of vodafone & they say they have fastest 4G internet. 3rd class network & 3rd class customer service representative. planning to switch to jio or airtel @VodafoneIN,['vodafonein']
anilchaubey11,10-06-2020,"@VodafoneIN 11th consecutive day still my issue is same. worst service .fraud company, #leavingvodafone",['vodafonein']
arsalan_ansari4,10-06-2020,@VodafoneIN 9925708233 no response till now check my DM,['vodafonein']
kuchbhi54864202,10-06-2020,@VodafoneIN i m facing no network coverage at my home. try to communicate with customer care but not connected. Plz solve my network issue.,['vodafonein']
ankush2610,10-06-2020,"@VodafoneIN spotify is not working only on your data platform and working fine on all other platforms. please fix this issue asap else me along with many need to shift to other options. It has been 3 months since the outage.

My number is 9582212814 Vodaf",['vodafonein']
sapagalu,10-06-2020,@VodafoneIN My contacts are saying they are getting my calls repeatedly. This is happening without my knowledge. This is causing inconvenience. Please help,['vodafonein']
darkprince1802,10-06-2020,"@NayanikaChandr2 
Hi,
I have provided the details yesterday.
But I haven't received any response from Vodafone.
Please treat this issue with priority.
Already one day in the pack validity is lost. Are you going to increase the validity due to inactiveness","['vodafonein', 'nayanikachandr2']"
vivekv1negi,10-06-2020,"@VodafoneIN this is happening since morning and happens every week...what has happened to the network quality?
""E""?????  pic.twitter.com/5RyD4A07qq",['vodafonein']
w0_0tf,10-06-2020,"@VodafoneIN Don't you'll think it's high time this annoying caller tune of #coronavirus alert is stopped? Pretty sure entire nation by now knows what it is, what precautions to be taken etc.",['vodafonein']
saumyashah6,10-06-2020,Same here. Our services are down and @VodafoneIN isn't responding. Please let me know if you find a way out of this.,"['sivaspeaks2', 'textlocalin', 'vodafonein', 'tanla_india', 'vodafonegroup', 'dot_india', 'rsprasad']"
gunaseelank17,10-06-2020,"@VodafoneIN 
No sense in complaining to @VodafoneIN ,Such a worst network and disrespectful towards customers.
Again got a message as resolved.
Customer care only calls for asking what is the issue.after that coming with below message immediately.  pic.tw",['vodafonein']
hungrybawarchi,10-06-2020,May be because the network is pathetic and it doesn't connect half the time.,['vodafonein']
manmauji_girl,10-06-2020,"@VodafoneIN 
Too much slow network before one week ... facing much prblm to using 
data...",['vodafonein']
nothinginname9,10-06-2020,".@VodafoneIN 

How can I get call details record of April & May 2020 lockdown period from my prepaid number? kindly do guide.",['vodafonein']
swetadas,10-06-2020,@VodafoneIn @youbroadband I would expect a brand like Vodafone with a good customer care reputation to take heed of gross negligence and poor behavior of its subsidiaries. We shouldnât have to resort to begging for a critical service while WFH for whatâ,"['vodafonein', 'youbroadband']"
manmauji_girl,10-06-2020,"@VodafoneIN 
Too much slow network ..",['vodafonein']
ankitapathk,10-06-2020,@VodafoneIN help,['vodafonein']
gsb2041,10-06-2020,@VodafoneIN @VodafoneGroup So far no one called me to get the feedback. This is the kind of care you provide to your customers ? In a way you are going all out to instigate me to leave this #pathetic service provider. Very sorry for you as I might not sti,"['vodafonein', 'vodafonegroup']"
nomadictales,10-06-2020,With heavy heart I parted ways with Airtel to Jio and trust me that's so far the best decision when it comes to telecom provider. Try karke dekho,"['bunnypunia', 'airtel_presence', 'vodafonein', 'airtelindia']"
bunnypunia,10-06-2020,"Hey @Airtel_Presence , can I go for a contactless / without visiting your outlet number portability option from my current @VodafoneIN number? These voda guys have failed to even call me once in past 2 days as the network here is horrible. Hope you can help me @airtelindia","['airtel_presence', 'vodafonein', 'airtelindia']"
t4thomson,10-06-2020,@VodafoneIN again no network. I am porting out.  pic.twitter.com/UW3KmGLV4j,['vodafonein']
meetkothari78,10-06-2020,No revert @VodafoneIN,['vodafonein']
vikashs71253800,10-06-2020,@idea_cares @VodafoneIN Worst ever 4G experience. No support at all. Pathetic...,"['idea_cares', 'vodafonein']"
dot_india,10-06-2020,Your Tweet has been forwarded to the concerned TSP/Division for necessary action. @VodafoneIN,"['parassony', 'vodafonein']"
asarazam800,10-06-2020,"Hey @JioCare @reliancejio I am all set to port my @VodafoneIN number to you guys, if you could port without loosing my recharge.","['vodafonein', 'consumerforum_', 'jiocare', 'reliancejio']"
pokharna,10-06-2020,"You have already taken information twice, only by taking information problem can't resolve. My phone is showing no service since yesterday evening. I want to port my number asap. Can't tackle torture of vodafone anymore.",['vodafonein']
chhomantar,10-06-2020,@VodafoneIN any update??? You guys are looking since 10 days and since you are not able to come up with anything?? #vodafone #worst,['vodafonein']
balliparadox,10-06-2020,"What u will do after getting my details?  Every second day your network is down. Calls dropping, if lucky call connected voice is always broken, internet speed is slower than a snail.",['vodafonein']
chitreamod,10-06-2020,@VodafoneIN I am still waiting for my postpaid SIM. My order number is DCHD01062029278. It was placed on 1st June and was supposed to be delivered on 2nd or 3rd June..Response awaited.,['vodafonein']
shinobirules,10-06-2020,Yeah. They keep spamming with different packages even though I have a 3 months active plan! ðð Both @airtelindia & @VodafoneIN,"['geekyranjit', 'airtelindia', 'vodafonein']"
gupta_pg21,10-06-2020,@VodafoneIN Looks like your network is forever in lockdown too!,['vodafonein']
sunilnandaniya1,10-06-2020,"@TRAI
@DoT_India
@VodafoneIN
@Idea
@VodafoneIN
@vodafoneservice","['trai', 'dot_india', 'vodafonein', 'idea', 'vodafoneservice']"
jillalamanoj,10-06-2020,@VodafoneIN no response from your end. I don't know why you people are doing like this. It's already 1 month completed no response from your end. Will it take 1month to check the status.waste waste waste waste waste waste. @TRAI https://twitter.com/Vodafo,"['vodafonein', 'trai']"
singh_ranveer_,10-06-2020,"@VodafoneIN I am using connection for more than 10 ye and paying 999 bill every month ,now facing call drop, network issue since last 1 week. Every alternate call is getting drop .Can you fox this urgently or should is port my number?",['vodafonein']
miteshjagawat,10-06-2020,@VodafoneIN Social media team is not responding to any DM messages.  Customercare is at its Lowest Level.  Is this way you treat your customers and LOOT customer's money ???,['vodafonein']
ds36735015,10-06-2020,Vodafone only Loot the client. If you not harass by Vodafone they start to blackmail n stop your services. I hate Vodafone. Vodafone Bharat Choro ð¡ð¡,['vodafonein']
b0mbay_guy,10-06-2020,"@VodafoneIN
@TRAI
@idea_cares
@zeenews
@VodafoneIN
@TRAI
@VodafoneIN
@TRAI 
8007800300, For number  I had provided my friend document & my alternate number was updated

You can check and call me on the alternative number if you are really interested in so","['vodafonein', 'trai', 'idea_cares', 'zeenews']"
girish_2210,10-06-2020,No no not at all .........but Idea -voda is providing good service ....in my area ..,"['immanojrathi', 'vodafonein', 'reliancejio']"
jainhimanshu262,10-06-2020,@VodafoneIN i had done plan for 3 gb per day....but vodafone cheated and gave only 1.5 gb per day...even after complaint filed no response is provided... already we are tolerating worst network of Vodafone.... over and above they are also cheating people ,['vodafonein']
susovan_26,10-06-2020,@VodafoneIN also does this ð,"['geekyranjit', 'airtelindia', 'vodafonein']"
aajay0311,10-06-2020,"@VodafoneIN no 4g network in entire south Goa. Can you pl check your 4G services are working? If you cant provide us 4g services then pl refund our money.
@TRAI @DoT_India @dot_moc kindly look into it.","['vodafonein', 'trai', 'dot_india', 'dot_moc']"
av_shu,10-06-2020,"My sim showing no service while rechrge is valid till 22 jun 2020 
@VodafoneIN @idea_cares","['vodafonein', 'idea_cares']"
im_ankit15722,10-06-2020,"@VodafoneIN Dear Team, I still didn't get any respons from you, this is very shameful and pathetic intent you have shown. Now I have to take to switch the network unwantedly and I would ofcourse ask to my friends for switching this network.",['vodafonein']
coolprasad90,10-06-2020,"I want to port my @VodafoneIN  number to @airtelindia .
Any doorstep service available?
@airtelindia.","['vodafonein', 'airtelindia']"
santk1984,10-06-2020,Dear @VodafoneIN . Finally some how I got message for your team for considering my issue. Attached screen. I hope as per promised you will be able resolve this issue by 13 the June.  pic.twitter.com/ow10yVOula,['vodafonein']
sunilnandaniya1,10-06-2020,"I have even e-mailed them but no reply at all 
Just getting message like this that documents mismatched
But it's a baseless altogether
@VodafoneIN
@VodafoneIN
@TRAI 
Now what Should i do ????
@VodafoneIN
@VodafoneIN","['vodafonein', 'trai']"
sunilnandaniya1,10-06-2020,@VodafoneIN  is The Worst Company Ever i have Exchanged sim and verified my all documents two or more time and however he is rejecting my documents and sais due to documents mismatched but there is no chance of mismatched because all the Documents is true,['vodafonein']
akanksha_g_,10-06-2020,"@VodafoneIN @VodafoneGroup 

Please share the process of activating and deactivating #RedX plan here so that its known to all customers..

@DoT_India
@TRAI
@_DigitalIndia","['vodafonein', 'vodafonegroup', 'dot_india', 'trai', '_digitalindia']"
swetadas,10-06-2020,"@VodafoneIn @youbroadband ...but further, upon getting through to their customer care/office number for Mumbai, if at all someone picks up the phone, it is the security guard who then tells you that all engineers are busy. This has been going on for one w","['vodafonein', 'youbroadband']"
dinuhsn,10-06-2020,Yes it's  very true. I am so fed up i port out of vodafone & chose @airtelindia,"['rahul_singrauli', 'vodafonein', 'trai', 'airtelindia']"
harsh18vardhan,10-06-2020,"Worst service provider, plz don't buy Voda sim ð
If u opt for higher packs they will reduce its network speed from 4G to 2G, n they will also not respond to ur queries n keep on sending stupid msg",['vodafonein']
khansami955,10-06-2020,"God knowns when the call will come @VodafoneIN
#waiting #pathetic https://twitter.com/VodafoneIN/status/1270595458092548096Â â¦",['vodafonein']
swetadas,10-06-2020,"@VodafoneIn @youbroadband We only chose YOU for WiFi services because of the trust in Vodafoneâs level of customer care and relying on their much proclaimed ability for real time tech support. Not only are they unwilling to respond, with their phone lin","['vodafonein', 'youbroadband']"
tanushrikarmak1,10-06-2020,"@VodafoneIN ,more than 10 days,still not clear how you have resolved the issue. Simply sending an SMS does not work. #falsestatements #poorservice #pathetic condition.",['vodafonein']
myselfsangram,10-06-2020,"@VodafoneIN Please Return my â¹69 of Callertune charges as the Callertune is not playing on VoLTE network.

I have visited Vodafone Store and called customer care. But no Service by them only fake Promises.@DoT_India @TRAI please make enquire.@VodafoneIN","['vodafonein', 'dot_india', 'trai']"
sunilku90805831,10-06-2020,"@VodafoneIN @VodafoneGroup
How did the Vodafone cheat on me? He give me a postpaid plan and said that you can get this SIM ported after three months but when the three months are over and I put the massage of the porting, then do not provide the porting c","['vodafonein', 'vodafonegroup']"
abhiinamdar5,10-06-2020,"@Idea @VodafoneIN
Your own following message gives feedback on your network quality:

Dear Customer, we tried calling you to update regarding Complaint Id C1-136101947247. You were unreachable on this attempt. We shall again try after sometime. Thank you.","['idea', 'vodafonein']"
nishant88262644,10-06-2020,@VodafoneIN #boycott Vodafone because this telecom operator service is very poor,['vodafonein']
shrawan58011723,10-06-2020,My sim is lost how will i get,['vodafonein']
piyushjain03,10-06-2020,@VodafoneIN Severe Network issue in shakti nagar area delhi 110007. Block 33.,['vodafonein']
litanda19767214,10-06-2020,@VodafoneIN I don't understand whats wrong with Vodafone .Worst service . Use less support team. U should shutdown.,['vodafonein']
raza_azh,10-06-2020,"Funny! @VodafoneIN Turbonet 4G services are so fast that it canât even open Google home page. Call drop, call connection, poor voice quality and feeble mobile signal are value added services. Very good! High time to port! @TRAI @DoT_India","['vodafonein', 'trai', 'dot_india']"
rahulbates,10-06-2020,Very disappointing network and bad connectivity even bad internet @VodafoneIN need to change..,['vodafonein']
alykaulitz_,10-06-2020,"Not getting any store, call or email solutions so I decided to try chat. My number is not working. I cannot make and receive calls. When I can't get an OTP how in the hell am I supposed to do this? There isnt any way I can connect to a human directly either. @VodafoneIN  pic.twitter.com/gWx3EWSbJ7",['vodafonein']
hiravvvv,10-06-2020,"Hey @XiaomiIndia @MIUI_India
@manukumarjain 
Can we get a blocklist for promotional messages from @VodafoneIN and other services?  pic.twitter.com/lZnQq02d3h","['xiaomiindia', 'miui_india', 'manukumarjain', 'vodafonein']"
deepaksaini_28,10-06-2020,"@VodafoneIN #poorservice 
I am facing issue with the Vodafone network past 1 month and given compliant many times but there is no response.
Now a day Vodafone service get poor and poor.
4G service's are working as 2G.",['vodafonein']
gosavi_as,10-06-2020,"Outage for a week from 3rd June. Everyday made complaint. Service assurance but no action. No refund, no fix. Account Number: 1982649
Worst service.

@youbroadband @VodafoneIN @TRAI @DoT_India @rsprasad","['youbroadband', 'vodafonein', 'trai', 'dot_india', 'rsprasad']"
